latitude,longitude,violation_time,violation_type,issue_date
40.700635,-73.886507,09:35,Expired Meter,2023-07-23
40.561848,-73.887604,05:39,Expired Registration,2023-11-24
40.609878,-73.952967,06:27,Expired Registration,2022-05-10
40.744452,-74.079059,06:32,Fire Hydrant,2023-08-22
40.826802,-73.722842,02:18,Bus Stop,2024-03-22
40.769628,-73.913119,09:14,Double Parking,2022-04-22
40.542265,-74.23328,02:29,No Standing,2023-10-28
40.867477,-73.937473,15:25,Double Parking,2024-12-13
40.542361,-73.874925,05:51,Bus Stop,2022-07-08
40.681895,-73.947677,14:42,Bus Stop,2022-08-05
40.91227,-73.926421,23:57,Bus Stop,2023-10-27
40.665251,-73.75244,15:28,Blocking Driveway,2023-03-24
40.808332,-73.789869,20:15,Blocking Driveway,2023-09-16
40.671032,-73.860442,10:57,Bus Stop,2022-05-11
40.51287,-74.174831,22:13,Parking in No Standing Zone,2023-12-05
40.660025,-74.074237,06:53,No Standing,2023-07-02
40.648848,-73.829015,18:24,Fire Hydrant,2024-01-28
40.479995,-74.062572,23:47,Bus Stop,2023-07-18
40.829502,-73.757493,13:31,No Parking,2023-04-09
40.648575,-73.8854,14:58,Expired Meter,2023-12-06
40.909114,-73.960685,21:01,Parking in No Standing Zone,2023-10-19
40.760338,-74.183285,08:24,Street Cleaning,2023-03-02
40.570573,-74.076491,13:16,Parking in No Standing Zone,2023-05-25
40.684429,-73.84062,20:04,No Parking,2022-06-08
40.809413,-73.728552,04:15,Expired Meter,2022-01-20
40.685862,-74.195191,08:49,Street Cleaning,2022-08-23
40.551261,-73.919831,05:19,Parking in No Standing Zone,2024-12-04
40.732137,-73.740131,12:45,Double Parking,2024-11-13
40.510854,-73.873254,22:49,Blocking Driveway,2024-04-04
40.851699,-73.92365,01:22,Bus Stop,2022-10-26
40.665972,-74.052062,00:54,No Standing,2024-11-11
40.83939,-74.200135,14:45,Expired Meter,2023-11-27
40.669101,-73.849129,17:49,Fire Hydrant,2024-05-20
40.682037,-73.797762,07:53,Parking in No Standing Zone,2024-05-11
40.600184,-74.007237,21:24,Street Cleaning,2023-10-20
40.490034,-73.783673,11:51,Blocking Driveway,2022-08-07
40.627217,-73.767265,00:33,Double Parking,2024-05-18
40.515087,-73.856794,07:44,Fire Hydrant,2023-09-25
40.761726,-73.984878,07:25,Double Parking,2022-02-10
40.612192,-73.934185,11:27,Bus Stop,2023-09-17
40.623014,-73.866415,07:07,Double Parking,2023-05-09
40.616304,-73.844052,06:47,Fire Hydrant,2024-03-07
40.599115,-73.929698,03:53,Double Parking,2024-10-10
40.607808,-74.057476,17:08,Blocking Driveway,2023-01-23
40.497436,-74.228636,20:55,Fire Hydrant,2023-12-05
40.522559,-74.252247,14:21,Expired Meter,2023-08-16
40.902412,-74.11804,02:25,Fire Hydrant,2023-02-27
40.510011,-73.907429,18:19,Parking in No Standing Zone,2022-03-05
40.914923,-74.192921,19:14,Bus Stop,2023-10-20
40.644842,-73.751519,09:36,Expired Registration,2023-10-14
40.503913,-73.722687,06:16,Parking in No Standing Zone,2022-04-21
40.546537,-74.16199,13:28,Expired Registration,2022-03-01
40.684255,-74.240864,22:55,Fire Hydrant,2023-12-10
40.508733,-74.128686,21:51,Double Parking,2023-11-19
40.664546,-73.954853,04:04,No Parking,2024-03-09
40.550439,-74.087237,14:07,Fire Hydrant,2024-10-10
40.780556,-73.868159,15:28,Parking in No Standing Zone,2023-09-18
40.740656,-73.762179,08:01,Parking in No Standing Zone,2024-06-20
40.578173,-73.88237,21:52,Blocking Driveway,2024-10-01
40.731064,-73.832751,20:28,Blocking Driveway,2022-08-17
40.557292,-73.932076,15:22,No Standing,2024-08-03
40.624122,-73.884696,22:31,Blocking Driveway,2022-06-14
40.769069,-74.035367,02:20,Blocking Driveway,2024-01-15
40.619705,-73.717058,00:42,Bus Stop,2023-09-27
40.680762,-74.228816,15:40,Fire Hydrant,2024-06-20
40.811948,-74.145372,14:56,Fire Hydrant,2024-03-10
40.530852,-73.715403,05:19,Bus Stop,2024-04-23
40.483419,-74.031156,03:41,Expired Meter,2022-02-15
40.696785,-73.858734,13:53,Fire Hydrant,2024-12-09
40.908904,-74.122928,06:58,Expired Registration,2024-03-13
40.701128,-73.76782,13:21,Bus Stop,2022-05-25
40.595009,-74.257667,18:37,Fire Hydrant,2024-05-27
40.858288,-74.009614,17:48,Bus Stop,2023-06-11
40.643448,-73.737915,18:24,Double Parking,2022-12-08
40.854217,-74.0296,22:58,No Standing,2023-12-16
40.647352,-73.888297,01:08,Bus Stop,2024-03-16
40.902349,-74.073615,16:58,Fire Hydrant,2022-08-04
40.484156,-74.17856,15:50,Blocking Driveway,2024-03-03
40.626435,-73.872086,10:54,Bus Stop,2024-02-28
40.64468,-74.082181,17:02,Expired Registration,2024-08-28
40.507519,-73.90647,02:27,Parking in No Standing Zone,2023-04-24
40.812115,-73.865836,22:19,No Parking,2022-08-06
40.497645,-73.814295,13:09,Double Parking,2023-06-12
40.711219,-73.942916,02:39,No Standing,2022-03-06
40.750197,-74.124548,14:40,Blocking Driveway,2024-03-08
40.679703,-73.886536,17:10,Parking in No Standing Zone,2023-05-22
40.671849,-74.066032,13:44,Blocking Driveway,2024-05-21
40.678499,-74.090305,07:24,Expired Registration,2023-08-04
40.635414,-74.093796,21:25,Blocking Driveway,2024-05-01
40.480965,-73.775787,23:31,Blocking Driveway,2024-01-20
40.818881,-74.130533,06:39,Blocking Driveway,2023-04-21
40.775752,-73.856317,04:40,Parking in No Standing Zone,2024-11-27
40.875078,-73.89799,18:23,Expired Meter,2023-08-02
40.517077,-74.094222,06:08,Bus Stop,2024-07-06
40.863218,-74.054695,05:16,Fire Hydrant,2024-05-27
40.903242,-74.094204,02:09,Double Parking,2023-02-15
40.856034,-73.85448,02:50,No Standing,2023-09-12
40.483527,-73.959317,23:43,Blocking Driveway,2023-06-22
40.734723,-73.799615,07:30,No Parking,2023-02-22
40.750125,-73.732151,20:04,Fire Hydrant,2023-10-08
40.877712,-74.090266,01:02,Blocking Driveway,2023-02-05
40.915807,-74.194223,12:29,Street Cleaning,2022-09-05
40.772548,-73.843908,23:46,Expired Meter,2024-07-19
40.867159,-73.893195,08:02,Street Cleaning,2023-10-14
40.573042,-74.010648,21:23,Bus Stop,2022-06-04
40.874327,-73.898835,06:07,Fire Hydrant,2022-07-09
40.517755,-74.140596,01:50,Street Cleaning,2024-10-01
40.584619,-74.188746,17:13,Expired Registration,2024-04-03
40.572462,-73.773201,19:00,Blocking Driveway,2023-03-26
40.85527,-74.178263,05:07,No Parking,2022-09-09
40.53542,-74.05895,00:11,Blocking Driveway,2022-10-11
40.500466,-73.844702,02:30,Fire Hydrant,2024-02-24
40.819883,-73.972354,07:39,No Parking,2022-08-17
40.797532,-73.75138,14:41,No Parking,2024-09-10
40.504175,-73.991493,03:31,Fire Hydrant,2023-07-22
40.509751,-74.213962,04:17,Expired Registration,2024-03-03
40.75608,-73.952733,16:18,Fire Hydrant,2023-07-20
40.699944,-74.018748,20:41,Bus Stop,2024-02-28
40.794714,-74.138967,10:52,Fire Hydrant,2023-04-14
40.652921,-73.851465,21:16,Street Cleaning,2023-07-11
40.897171,-73.875373,02:05,No Standing,2023-02-03
40.519908,-73.846335,18:35,Bus Stop,2022-09-02
40.62251,-74.190809,13:55,No Parking,2023-11-25
40.903689,-73.923651,16:13,Expired Meter,2023-02-19
40.766495,-74.133814,17:23,Parking in No Standing Zone,2022-06-28
40.813099,-73.93835,19:39,Bus Stop,2023-09-25
40.488957,-73.740021,05:17,Blocking Driveway,2024-05-01
40.883061,-74.062983,21:25,Parking in No Standing Zone,2022-03-19
40.539853,-73.905347,16:13,No Standing,2022-02-24
40.66221,-74.068641,10:49,Expired Registration,2023-05-24
40.739858,-73.765577,19:03,Parking in No Standing Zone,2022-03-25
40.59718,-73.889275,13:17,Double Parking,2023-10-15
40.809726,-74.19551,21:43,Expired Registration,2023-02-10
40.691616,-73.886373,19:03,No Parking,2022-04-13
40.567387,-73.730947,10:07,No Parking,2022-05-10
40.696349,-74.018493,22:14,Bus Stop,2022-07-18
40.72335,-73.885861,23:02,No Standing,2023-02-13
40.48565,-73.744447,18:25,No Standing,2023-10-14
40.604845,-74.032808,19:29,Street Cleaning,2023-03-26
40.516195,-73.787287,12:33,Parking in No Standing Zone,2022-07-19
40.651616,-74.08575,05:04,Bus Stop,2023-04-11
40.756145,-73.962651,23:52,Expired Meter,2022-06-12
40.581406,-74.177282,04:48,Parking in No Standing Zone,2022-03-20
40.55538,-73.82731,18:48,Expired Registration,2023-08-25
40.675008,-73.742775,19:20,Street Cleaning,2024-11-21
40.543851,-74.220948,08:37,No Parking,2023-11-10
40.632325,-74.21765,01:23,Blocking Driveway,2023-08-02
40.511177,-73.776244,16:24,Fire Hydrant,2022-10-20
40.732861,-73.725971,18:41,Double Parking,2024-01-15
40.618936,-73.993366,03:51,Street Cleaning,2022-01-15
40.909846,-74.211985,07:45,Fire Hydrant,2024-03-02
40.913632,-73.966303,11:58,Blocking Driveway,2024-03-12
40.647941,-73.826407,20:41,Street Cleaning,2024-10-02
40.506414,-74.2063,08:46,Expired Registration,2024-07-10
40.861818,-74.072851,11:19,No Standing,2024-11-05
40.534165,-73.863074,12:41,Street Cleaning,2022-05-18
40.835364,-73.884706,02:41,No Standing,2024-11-17
40.701237,-74.248915,10:49,Fire Hydrant,2023-03-07
40.561921,-73.700413,03:32,Bus Stop,2022-02-10
40.84502,-73.765387,19:08,Expired Registration,2022-11-11
40.643232,-74.168452,05:46,Fire Hydrant,2024-10-26
40.496633,-74.055566,19:18,Fire Hydrant,2024-04-15
40.580408,-74.125477,21:36,Fire Hydrant,2023-04-12
40.680632,-74.101674,13:10,Double Parking,2023-09-17
40.830114,-74.181777,15:55,Street Cleaning,2023-01-21
40.721509,-74.201783,02:48,Expired Meter,2024-02-10
40.597483,-73.753305,07:52,Fire Hydrant,2022-07-03
40.866814,-73.739245,16:23,Double Parking,2023-01-13
40.64739,-74.213507,03:53,Street Cleaning,2022-01-11
40.825766,-74.182223,04:48,Fire Hydrant,2023-08-23
40.674874,-74.256166,06:53,Expired Meter,2022-01-09
40.718984,-73.852794,09:15,Blocking Driveway,2024-07-04
40.531038,-74.125884,02:07,Fire Hydrant,2024-10-15
40.740085,-74.249918,22:09,Blocking Driveway,2024-10-08
40.666351,-73.915606,05:42,Parking in No Standing Zone,2022-10-14
40.707838,-74.057631,16:35,No Parking,2024-09-17
40.649278,-73.996436,08:47,No Parking,2024-07-12
40.634593,-74.221354,20:06,Expired Registration,2022-12-22
40.801029,-74.073322,10:52,Expired Meter,2022-06-18
40.842935,-73.876568,05:51,Expired Meter,2024-08-21
40.505177,-73.825442,06:02,Double Parking,2023-01-10
40.867325,-74.082777,17:30,Blocking Driveway,2023-09-13
40.49352,-73.897677,01:55,Street Cleaning,2023-06-28
40.59767,-73.812507,14:57,No Standing,2023-07-24
40.626644,-74.154725,16:17,Parking in No Standing Zone,2024-08-12
40.797461,-74.215003,09:20,Parking in No Standing Zone,2024-03-18
40.512646,-73.889844,22:27,Expired Meter,2023-08-20
40.781034,-74.062691,11:39,No Standing,2022-12-28
40.598259,-73.711559,20:25,Street Cleaning,2022-02-22
40.70326,-73.840132,19:43,Fire Hydrant,2022-01-05
40.492719,-74.221537,12:36,No Parking,2024-06-12
40.743763,-73.879708,02:36,Expired Meter,2023-06-15
40.710468,-74.036718,03:01,Expired Meter,2024-05-08
40.697079,-74.04289,08:45,Fire Hydrant,2024-02-09
40.571854,-73.917244,03:08,Parking in No Standing Zone,2024-08-07
40.676389,-73.757008,21:54,Street Cleaning,2023-02-26
40.771383,-73.86268,09:54,Expired Meter,2024-09-10
40.790738,-73.741004,11:32,Double Parking,2024-03-26
40.530824,-74.146812,15:01,Street Cleaning,2022-04-26
40.72128,-74.052989,02:04,Blocking Driveway,2024-03-20
40.65267,-73.858549,13:52,Expired Registration,2023-09-14
40.509865,-73.715831,14:43,Bus Stop,2024-02-15
40.629055,-73.768584,05:49,Expired Meter,2024-11-19
40.667839,-73.750285,04:19,Expired Meter,2022-02-17
40.548698,-73.736862,09:54,Parking in No Standing Zone,2022-06-17
40.587716,-73.904294,20:19,Expired Registration,2024-05-05
40.712237,-73.978312,04:10,Expired Registration,2022-10-19
40.794623,-73.921009,00:05,No Parking,2024-01-27
40.89495,-73.82833,18:26,Expired Registration,2023-11-07
40.758684,-73.980846,20:19,Fire Hydrant,2024-09-10
40.585195,-73.808034,02:44,No Parking,2023-05-15
40.546987,-74.026892,19:09,Street Cleaning,2023-04-11
40.856626,-74.080698,11:32,Bus Stop,2023-07-05
40.524142,-74.124041,07:09,Parking in No Standing Zone,2022-05-15
40.499676,-73.730913,05:52,Street Cleaning,2024-07-08
40.888437,-73.856206,16:29,Fire Hydrant,2022-03-16
40.864369,-73.981219,14:15,Double Parking,2022-07-17
40.734188,-74.231915,20:43,Fire Hydrant,2023-08-20
40.603186,-74.254531,08:46,Street Cleaning,2022-07-05
40.81365,-74.054651,17:12,Street Cleaning,2023-01-19
40.720929,-74.218018,17:17,Expired Registration,2024-08-25
40.776911,-74.19272,10:35,Street Cleaning,2022-07-12
40.809736,-74.147886,01:02,No Parking,2024-07-17
40.537723,-74.07303,04:38,Bus Stop,2023-09-15
40.538932,-73.738744,19:47,Blocking Driveway,2023-03-13
40.738758,-73.975663,22:36,Blocking Driveway,2024-09-16
40.686448,-74.249805,13:37,Blocking Driveway,2023-11-04
40.828131,-73.853861,19:30,Blocking Driveway,2024-11-01
40.903105,-73.821692,23:03,Expired Registration,2024-10-08
40.688894,-73.966211,12:09,Double Parking,2024-10-25
40.491297,-73.729338,14:20,No Standing,2022-04-01
40.54406,-73.873318,19:58,Fire Hydrant,2023-09-25
40.861614,-73.847988,16:13,Bus Stop,2022-12-05
40.620487,-73.889114,05:29,Bus Stop,2024-07-11
40.628092,-74.06116,22:16,Expired Registration,2024-11-21
40.690536,-73.724236,07:19,Blocking Driveway,2023-09-10
40.787697,-73.873463,11:35,Blocking Driveway,2023-06-16
40.604085,-73.938699,11:49,Expired Meter,2024-07-13
40.605257,-74.098401,14:41,Blocking Driveway,2024-02-12
40.806378,-74.139546,22:17,Expired Meter,2024-05-18
40.525482,-73.845164,21:57,Bus Stop,2022-04-02
40.576741,-74.129014,22:30,Parking in No Standing Zone,2022-07-11
40.777261,-74.182297,20:59,Fire Hydrant,2024-03-14
40.687573,-74.147664,20:03,Parking in No Standing Zone,2023-06-10
40.764542,-74.129359,01:58,Expired Meter,2024-12-28
40.661353,-73.79113,15:11,Blocking Driveway,2022-07-26
40.863342,-74.253922,10:18,Fire Hydrant,2024-10-04
40.912802,-73.955558,16:29,Blocking Driveway,2023-03-28
40.562276,-74.196164,20:16,Expired Meter,2022-12-15
40.4836,-74.070755,06:11,Expired Registration,2023-10-22
40.854276,-73.757922,02:25,Parking in No Standing Zone,2023-09-11
40.558741,-74.18054,08:24,Double Parking,2023-04-01
40.674053,-74.10993,23:36,No Parking,2023-05-19
40.592536,-74.058218,03:29,Blocking Driveway,2022-01-22
40.547707,-73.875791,03:40,Blocking Driveway,2024-05-23
40.639193,-74.135712,14:47,Expired Registration,2022-08-05
40.64187,-73.866926,21:52,Double Parking,2023-09-26
40.812771,-73.878993,14:33,Street Cleaning,2024-02-17
40.511781,-73.943899,06:36,Bus Stop,2022-09-17
40.543365,-74.075781,21:13,Expired Registration,2024-08-04
40.692582,-73.756891,04:32,No Standing,2023-01-15
40.678483,-74.226842,09:46,No Parking,2023-11-26
40.651697,-73.802948,02:02,No Standing,2024-04-19
40.629062,-74.223477,01:18,No Standing,2022-02-16
40.556628,-74.183436,13:23,No Standing,2024-12-21
40.674846,-73.746708,21:42,Bus Stop,2023-07-03
40.535942,-73.778458,12:33,Expired Meter,2022-03-18
40.797803,-74.134683,14:43,Bus Stop,2022-01-10
40.664101,-74.047198,11:09,Blocking Driveway,2022-04-15
40.560369,-73.770121,21:26,Expired Registration,2022-01-26
40.814617,-73.765345,02:06,Expired Registration,2022-04-07
40.49218,-73.925118,23:02,No Standing,2024-01-08
40.670631,-73.957536,09:14,Expired Registration,2022-03-17
40.617781,-73.925043,09:56,Expired Meter,2024-06-08
40.911303,-73.967877,01:35,Expired Registration,2023-05-09
40.86465,-73.749802,17:31,No Parking,2024-11-14
40.905402,-73.733036,16:20,No Standing,2024-07-26
40.657116,-74.091552,07:54,Double Parking,2022-09-16
40.609784,-73.863777,13:26,Bus Stop,2023-01-18
40.710702,-74.04209,20:05,Fire Hydrant,2023-04-11
40.850308,-74.20744,08:24,Expired Registration,2024-04-02
40.742806,-73.771008,21:35,Double Parking,2022-10-24
40.688429,-73.773325,06:59,Double Parking,2023-05-01
40.900907,-74.193555,19:45,Double Parking,2023-04-23
40.651997,-74.125386,14:34,Street Cleaning,2023-05-13
40.613167,-74.058167,23:30,Street Cleaning,2023-08-04
40.879888,-74.051987,07:47,Expired Meter,2023-01-19
40.48454,-73.949965,13:18,Expired Meter,2024-10-24
40.563764,-74.130589,17:41,Street Cleaning,2024-04-16
40.590675,-73.800077,15:29,Expired Meter,2024-11-24
40.799966,-74.062339,15:11,Bus Stop,2022-12-18
40.91334,-73.724292,02:52,No Parking,2024-01-27
40.813862,-74.028696,22:09,No Parking,2024-04-03
40.57368,-74.004327,21:59,Expired Registration,2022-10-21
40.879193,-73.890758,17:26,No Parking,2022-01-18
40.484763,-73.855611,16:52,No Standing,2024-05-01
40.832275,-73.75081,04:15,Double Parking,2022-02-17
40.750228,-74.118074,12:05,Street Cleaning,2023-05-26
40.899683,-74.002658,09:43,Parking in No Standing Zone,2022-12-08
40.765174,-73.779613,12:24,Bus Stop,2022-02-13
40.686937,-73.903349,15:54,No Standing,2024-03-03
40.761288,-74.074019,07:13,Expired Registration,2022-09-02
40.686715,-74.233086,17:36,No Parking,2022-11-09
40.556352,-73.783966,04:48,No Standing,2022-04-19
40.886291,-74.091894,12:43,Bus Stop,2024-04-19
40.623427,-73.836941,02:32,Street Cleaning,2022-12-24
40.501037,-74.014899,19:38,No Standing,2022-06-20
40.903919,-74.076753,14:31,Double Parking,2024-05-26
40.634028,-73.733283,18:42,No Standing,2023-03-22
40.515123,-73.913479,02:17,Expired Meter,2022-12-03
40.644676,-73.82114,10:23,Parking in No Standing Zone,2022-12-13
40.517687,-73.732268,08:06,Expired Meter,2023-06-25
40.515828,-74.018312,13:06,No Parking,2024-09-17
40.51685,-73.949457,10:55,No Standing,2024-10-26
40.482832,-74.027904,07:36,Bus Stop,2022-12-18
40.55205,-74.046385,08:31,Expired Meter,2022-05-10
40.50525,-74.016246,02:23,Blocking Driveway,2023-05-16
40.893047,-73.856333,06:29,Parking in No Standing Zone,2023-10-20
40.537042,-74.255319,19:24,Street Cleaning,2023-06-27
40.671186,-74.018515,09:20,Expired Registration,2024-10-05
40.894392,-74.146884,10:18,Fire Hydrant,2023-03-13
40.903409,-73.822211,12:23,Parking in No Standing Zone,2023-07-09
40.887696,-74.147472,17:01,Fire Hydrant,2024-03-22
40.892498,-74.141969,13:43,Fire Hydrant,2023-12-03
40.538667,-74.089907,22:27,No Standing,2023-11-05
40.509959,-73.705596,17:32,No Standing,2023-10-13
40.716713,-73.817324,17:38,Parking in No Standing Zone,2023-12-26
40.525544,-74.120413,20:39,No Parking,2024-06-06
40.72533,-73.898721,10:50,No Standing,2024-07-25
40.524037,-74.204009,16:35,Expired Registration,2022-09-24
40.78011,-74.13561,21:37,Bus Stop,2023-07-15
40.543758,-73.701683,13:58,Parking in No Standing Zone,2023-02-10
40.528494,-73.733544,10:29,Double Parking,2022-06-10
40.706795,-74.064505,22:28,Street Cleaning,2022-08-24
40.50697,-74.234136,10:41,Parking in No Standing Zone,2024-02-01
40.775477,-74.167275,05:35,Expired Meter,2024-04-17
40.623102,-74.020887,12:40,Expired Meter,2023-04-26
40.559448,-73.891862,19:56,Double Parking,2023-01-24
40.675303,-74.019109,06:17,Parking in No Standing Zone,2022-12-07
40.731549,-73.812418,10:12,Fire Hydrant,2024-03-12
40.527563,-73.884379,10:38,No Standing,2023-09-21
40.746498,-73.93114,14:39,Expired Meter,2023-06-28
40.835608,-73.864664,02:43,Expired Meter,2023-10-19
40.615264,-74.125809,22:09,Bus Stop,2022-03-12
40.648402,-73.925877,05:31,Bus Stop,2024-07-14
40.782649,-73.898593,15:18,Expired Meter,2022-09-06
40.559761,-73.788683,11:00,Fire Hydrant,2024-01-28
40.537503,-73.803639,15:26,Fire Hydrant,2024-09-21
40.660361,-73.789852,18:01,Double Parking,2023-03-03
40.605978,-74.10554,14:36,Fire Hydrant,2024-05-06
40.719389,-74.195849,17:52,Street Cleaning,2022-05-25
40.716007,-73.836284,06:27,Parking in No Standing Zone,2024-08-18
40.801382,-73.893894,01:28,Blocking Driveway,2022-05-28
40.630844,-73.802794,07:13,Expired Registration,2023-02-25
40.780757,-73.778032,05:39,Expired Meter,2024-11-14
40.822891,-73.804581,17:17,Expired Registration,2022-10-12
40.714566,-74.078275,18:17,Bus Stop,2024-05-10
40.911212,-73.879575,13:58,No Parking,2022-03-25
40.914292,-73.774681,04:15,Expired Meter,2022-12-28
40.790556,-73.796227,04:36,Blocking Driveway,2024-07-16
40.753763,-74.049491,02:25,Bus Stop,2022-11-26
40.807463,-73.870969,10:37,No Parking,2023-08-16
40.859893,-73.785788,20:42,Street Cleaning,2022-12-15
40.851617,-73.814555,06:31,Blocking Driveway,2023-04-14
40.619525,-74.100657,18:54,Fire Hydrant,2024-10-05
40.824411,-73.759536,20:50,Fire Hydrant,2022-01-04
40.484567,-73.739826,00:27,Double Parking,2022-08-15
40.915705,-73.751014,08:05,Street Cleaning,2024-05-06
40.587621,-74.051351,12:40,Blocking Driveway,2024-03-02
40.79698,-73.837152,22:06,No Parking,2023-11-03
40.571348,-74.215556,21:28,No Parking,2024-04-17
40.480949,-74.067145,04:30,Parking in No Standing Zone,2022-07-23
40.578182,-74.209191,11:56,Blocking Driveway,2022-02-11
40.537764,-73.826968,04:04,Bus Stop,2022-11-22
40.725361,-73.918115,23:13,Expired Meter,2022-08-12
40.882337,-73.914898,03:08,Parking in No Standing Zone,2023-04-03
40.73693,-74.044541,04:15,Blocking Driveway,2023-06-26
40.761162,-74.120449,19:18,No Parking,2024-10-24
40.850642,-73.891249,19:32,Double Parking,2023-04-17
40.806601,-74.093981,12:07,Double Parking,2022-04-16
40.697316,-73.927271,10:08,No Standing,2024-01-12
40.85633,-73.941546,05:48,Fire Hydrant,2023-09-22
40.89755,-73.828696,00:16,Double Parking,2022-10-03
40.494932,-74.225316,20:45,Bus Stop,2023-09-10
40.815082,-74.022449,17:34,Expired Registration,2023-02-21
40.54461,-74.212394,04:34,Street Cleaning,2022-09-07
40.6494,-73.90472,02:19,No Standing,2024-11-21
40.798728,-73.786178,13:07,Fire Hydrant,2022-04-03
40.746933,-74.228356,23:11,Parking in No Standing Zone,2024-12-22
40.482975,-74.18244,11:33,Bus Stop,2022-03-16
40.822071,-73.856408,23:49,Blocking Driveway,2022-06-05
40.800038,-74.193142,13:17,Bus Stop,2022-06-26
40.505516,-73.861125,15:29,Bus Stop,2024-11-03
40.635927,-73.979968,05:16,Parking in No Standing Zone,2024-03-12
40.871057,-73.882469,16:00,No Parking,2022-04-24
40.855395,-74.252235,12:58,Expired Meter,2022-08-12
40.556179,-73.722557,22:47,No Standing,2022-09-26
40.576232,-74.120395,02:36,Street Cleaning,2024-06-09
40.52996,-73.882913,16:02,No Standing,2022-03-08
40.507741,-73.999252,02:35,Fire Hydrant,2023-05-11
40.480908,-74.146985,19:15,Fire Hydrant,2024-05-24
40.639514,-73.716123,07:09,No Parking,2022-12-18
40.887841,-74.245741,22:56,No Parking,2024-06-21
40.896026,-74.258283,23:46,Blocking Driveway,2024-07-28
40.523158,-73.963093,01:09,Blocking Driveway,2022-07-16
40.51835,-73.744384,11:29,Parking in No Standing Zone,2024-07-23
40.733055,-73.976718,18:36,No Parking,2024-07-03
